dt,sku_id,comment_num,has_bad_comment,bad_comment_rate
2016-02-01,1000,3,1,0.0417
2016-02-01,10000,2,0,0.0
2016-02-01,100011,4,1,0.0376
2016-02-01,100018,3,0,0.0
2016-02-01,100020,3,0,0.0
2016-02-01,100021,1,0,0.0
2016-02-01,100028,1,0,0.0
2016-02-01,100031,3,0,0.0
2016-02-01,100033,2,0,0.0
2016-02-01,100035,1,1,1.0
2016-02-01,100037,1,0,0.0
2016-02-01,100039,4,0,0.0
2016-02-01,100046,0,0,0.0
2016-02-01,100047,1,0,0.0
2016-02-01,10005,1,1,1.0
2016-02-01,100051,1,0,0.0
2016-02-01,100056,2,0,0.0
2016-02-01,100068,0,0,0.0
2016-02-01,100076,3,1,0.0227
2016-02-01,100086,4,1,0.0896
2016-02-01,100087,4,1,0.038
2016-02-01,100088,2,0,0.0
2016-02-01,100097,3,1,0.087
2016-02-01,1001,2,0,0.0
2016-02-01,100100,4,1,0.0588
2016-02-01,100101,4,1,0.0654
2016-02-01,100107,2,0,0.0
2016-02-01,100109,2,1,0.2
2016-02-01,10011,4,1,0.0239
2016-02-01,100110,2,0,0.0
2016-02-01,100113,1,0,0.0
2016-02-01,100116,2,0,0.0
2016-02-01,100119,1,0,0.0
2016-02-01,100127,4,1,0.0483
2016-02-01,100130,2,0,0.0
2016-02-01,100132,1,0,0.0
2016-02-01,100133,3,1,0.0698
2016-02-01,100137,2,0,0.0
2016-02-01,100140,2,0,0.0
2016-02-01,100144,3,0,0.0
2016-02-01,100145,2,0,0.0
2016-02-01,100152,3,0,0.0
2016-02-01,100158,1,0,0.0
2016-02-01,100159,2,0,0.0
2016-02-01,100160,4,1,0.0278
2016-02-01,100165,4,1,0.0106
2016-02-01,100167,3,0,0.0
2016-02-01,100168,4,1,0.0552
2016-02-01,100173,2,1,0.5
2016-02-01,100174,2,0,0.0
2016-02-01,100178,3,1,0.0909
2016-02-01,10018,3,0,0.0
2016-02-01,100187,2,0,0.0
2016-02-01,100188,4,1,0.0434
2016-02-01,100196,4,1,0.0617
2016-02-01,100197,4,1,0.0768
2016-02-01,1002,0,0,0.0
2016-02-01,100202,3,1,0.0667
2016-02-01,10021,1,0,0.0
2016-02-01,10022,1,0,0.0
2016-02-01,100222,4,1,0.0317
2016-02-01,100231,4,1,0.0182
2016-02-01,100237,2,0,0.0
2016-02-01,100240,1,0,0.0
2016-02-01,100247,2,1,0.1
2016-02-01,100250,3,0,0.0
2016-02-01,100251,4,1,0.0255
2016-02-01,100252,3,1,0.1429
2016-02-01,100258,2,0,0.0
2016-02-01,100259,2,0,0.0
2016-02-01,100262,0,0,0.0
2016-02-01,100270,4,1,0.0205
2016-02-01,100271,4,1,0.0248
2016-02-01,100274,2,0,0.0
2016-02-01,100276,1,0,0.0
2016-02-01,100282,4,1,0.0674
2016-02-01,100285,3,1,0.0667
2016-02-01,100286,1,0,0.0
2016-02-01,100291,2,0,0.0
2016-02-01,1003,2,1,0.1667
2016-02-01,100306,2,1,0.1429
2016-02-01,100314,2,0,0.0
2016-02-01,100318,3,0,0.0
2016-02-01,100326,4,1,0.0302
2016-02-01,100333,4,1,0.027
2016-02-01,100339,2,0,0.0
2016-02-01,100340,1,0,0.0
2016-02-01,100347,3,0,0.0
2016-02-01,10035,3,0,0.0
2016-02-01,100350,3,1,0.1064
2016-02-01,100353,2,0,0.0
2016-02-01,100356,4,1,0.0913
2016-02-01,100365,1,0,0.0
2016-02-01,100368,2,1,0.1429
2016-02-01,100373,2,0,0.0
2016-02-01,100378,2,0,0.0
2016-02-01,10038,2,0,0.0
2016-02-01,100380,2,0,0.0
2016-02-01,100381,4,1,0.0381
2016-02-01,100389,2,0,0.0
2016-02-01,100391,3,0,0.0
2016-02-01,100393,3,1,0.0465
2016-02-01,100396,4,1,0.0061
2016-02-01,1004,2,0,0.0
2016-02-01,10040,2,0,0.0
2016-02-01,100405,2,0,0.0
2016-02-01,100409,3,0,0.0
2016-02-01,100420,4,1,0.0305
2016-02-01,100421,0,0,0.0
2016-02-01,100423,3,1,0.1892
2016-02-01,100426,2,0,0.0
2016-02-01,100430,4,1,0.0228
2016-02-01,100437,3,1,0.0769
2016-02-01,10044,3,1,0.0667
