user_id,sku_id,time,model_id,type,cate,brand
287842.0,75018,2016-03-31 23:59:01,14,6,9,630
208266.0,31662,2016-03-31 23:59:04,,1,8,545
209390.0,118799,2016-03-31 23:59:05,111,6,8,244
237311.0,5825,2016-03-31 23:59:05,,1,8,885
257651.0,128104,2016-03-31 23:59:05,,1,4,300
297325.0,128747,2016-03-31 23:59:06,0,6,8,489
257651.0,128104,2016-03-31 23:59:06,0,6,4,300
213380.0,81163,2016-03-31 23:59:06,0,6,6,306
287896.0,68767,2016-03-31 23:59:07,19,6,8,545
297325.0,128747,2016-03-31 23:59:08,111,6,8,489
230578.0,162108,2016-03-31 23:59:09,0,6,4,306
230578.0,162108,2016-03-31 23:59:09,,1,4,306
208266.0,42199,2016-03-31 23:59:09,,1,8,545
257651.0,128104,2016-03-31 23:59:10,0,6,4,300
257651.0,128104,2016-03-31 23:59:10,18,6,4,300
245215.0,119831,2016-03-31 23:59:12,,6,5,124
245215.0,119831,2016-03-31 23:59:12,,6,5,124
297325.0,128747,2016-03-31 23:59:12,111,6,8,489
247503.0,120803,2016-03-31 23:59:12,0,6,4,375
245215.0,119831,2016-03-31 23:59:12,,1,5,124
244559.0,138778,2016-03-31 23:59:13,,6,8,403
297325.0,128747,2016-03-31 23:59:15,111,6,8,489
287896.0,68767,2016-03-31 23:59:15,115,6,8,545
257651.0,128104,2016-03-31 23:59:16,0,6,4,300
257651.0,128104,2016-03-31 23:59:17,0,6,4,300
257651.0,128104,2016-03-31 23:59:19,0,6,4,300
257651.0,128104,2016-03-31 23:59:20,0,6,4,300
244559.0,138778,2016-03-31 23:59:22,,6,8,403
244559.0,138778,2016-03-31 23:59:22,,6,8,403
297543.0,130563,2016-03-31 23:59:22,,1,8,214
244559.0,138778,2016-03-31 23:59:22,,1,8,403
206649.0,44854,2016-03-31 23:59:23,,1,8,30
297543.0,130563,2016-03-31 23:59:24,0,6,8,214
206649.0,44854,2016-03-31 23:59:24,0,6,8,30
287842.0,75018,2016-03-31 23:59:25,0,6,9,630
251878.0,80704,2016-03-31 23:59:26,,6,8,717
251878.0,80704,2016-03-31 23:59:26,,6,8,717
230578.0,50986,2016-03-31 23:59:27,0,6,4,306
251878.0,80704,2016-03-31 23:59:27,,1,8,717
230578.0,50986,2016-03-31 23:59:27,,1,4,306
257651.0,128104,2016-03-31 23:59:27,0,6,4,300
244559.0,138778,2016-03-31 23:59:28,,6,8,403
219229.0,122817,2016-03-31 23:59:28,,6,5,371
297543.0,130563,2016-03-31 23:59:29,0,6,8,214
244559.0,142667,2016-03-31 23:59:29,,1,8,403
234049.0,136276,2016-03-31 23:59:30,,1,7,587
234049.0,136276,2016-03-31 23:59:30,0,6,7,587
234049.0,136276,2016-03-31 23:59:30,0,6,7,587
219229.0,122817,2016-03-31 23:59:31,,1,5,371
244559.0,138778,2016-03-31 23:59:32,,6,8,403
297543.0,130563,2016-03-31 23:59:32,0,6,8,214
213380.0,81163,2016-03-31 23:59:33,0,6,6,306
244559.0,138778,2016-03-31 23:59:33,,1,8,403
297325.0,128747,2016-03-31 23:59:34,111,6,8,489
219229.0,122817,2016-03-31 23:59:36,,6,5,371
297325.0,128747,2016-03-31 23:59:38,111,6,8,489
219229.0,122817,2016-03-31 23:59:38,,6,5,371
219229.0,122817,2016-03-31 23:59:39,,6,5,371
253462.0,37207,2016-03-31 23:59:41,125,6,7,429
266067.0,14163,2016-03-31 23:59:42,,1,8,306
297325.0,128747,2016-03-31 23:59:42,0,6,8,489
266067.0,14163,2016-03-31 23:59:43,0,6,8,306
264081.0,142436,2016-03-31 23:59:43,,1,9,842
245215.0,27770,2016-03-31 23:59:45,,6,5,124
245215.0,27770,2016-03-31 23:59:46,,1,5,124
245215.0,27770,2016-03-31 23:59:46,,6,5,124
266067.0,14163,2016-03-31 23:59:50,0,6,8,306
225247.0,166707,2016-03-31 23:59:51,,1,8,489
253462.0,7047,2016-03-31 23:59:52,,1,7,429
253462.0,7047,2016-03-31 23:59:53,0,6,7,429
244559.0,138778,2016-03-31 23:59:54,,6,8,403
213380.0,81163,2016-03-31 23:59:54,0,6,6,306
244559.0,138778,2016-03-31 23:59:54,,6,8,403
245215.0,119831,2016-03-31 23:59:57,,6,5,124
245215.0,119831,2016-03-31 23:59:57,,6,5,124
245215.0,119831,2016-03-31 23:59:57,,1,5,124
232629.0,58768,2016-03-31 23:59:58,,1,6,124
232629.0,58768,2016-03-31 23:59:58,,1,6,124
232629.0,58768,2016-03-31 23:59:58,,1,6,124
244600.0,135376,2016-03-31 23:59:58,,1,4,453
232629.0,58768,2016-03-31 23:59:58,,1,6,124
274072.0,34041,2016-03-31 23:59:59,,1,7,24
234752.0,111017,2016-03-31 23:59:59,,1,6,235
234752.0,111017,2016-03-31 23:59:59,0,6,6,235
274072.0,34041,2016-03-31 23:59:59,,1,7,24
202700.0,9159,2016-04-01 00:00:00,0,6,6,800
239358.0,82495,2016-04-01 00:00:00,216,6,4,581
239358.0,82495,2016-04-01 00:00:00,0,6,4,581
239358.0,82495,2016-04-01 00:00:00,0,6,4,581
206649.0,44854,2016-04-01 00:00:00,11,6,8,30
239358.0,82495,2016-04-01 00:00:00,217,6,4,581
202700.0,9159,2016-04-01 00:00:00,,1,6,800
202700.0,9159,2016-04-01 00:00:00,,1,6,800
200626.0,140029,2016-04-01 00:00:00,115,6,4,375
250576.0,162108,2016-04-01 00:00:00,,4,4,306
261963.0,52343,2016-04-01 00:00:01,0,6,8,489
210037.0,163680,2016-04-01 00:00:01,26,6,4,306
250576.0,162108,2016-04-01 00:00:01,217,6,4,306
244600.0,135376,2016-04-01 00:00:01,0,6,4,453
210037.0,163680,2016-04-01 00:00:01,0,6,4,306
206649.0,44854,2016-04-01 00:00:01,,2,8,30
261963.0,52343,2016-04-01 00:00:01,220,6,8,489
261963.0,52343,2016-04-01 00:00:01,216,6,8,489
261963.0,52343,2016-04-01 00:00:01,,1,8,489
261963.0,52343,2016-04-01 00:00:01,217,6,8,489
261963.0,52343,2016-04-01 00:00:01,220,6,8,489
261963.0,52343,2016-04-01 00:00:01,0,6,8,489
250576.0,162108,2016-04-01 00:00:01,0,6,4,306
250576.0,162108,2016-04-01 00:00:01,,1,4,306
250576.0,162108,2016-04-01 00:00:01,,1,4,306
250576.0,162108,2016-04-01 00:00:01,216,6,4,306
250576.0,162108,2016-04-01 00:00:01,216,6,4,306
261963.0,52343,2016-04-01 00:00:01,,1,8,489
210037.0,163680,2016-04-01 00:00:01,27,6,4,306
298335.0,1528,2016-04-01 00:00:02,,1,5,225
258590.0,28276,2016-04-01 00:00:02,217,6,4,519
298335.0,1528,2016-04-01 00:00:02,0,6,5,225
250576.0,162108,2016-04-01 00:00:02,,2,4,306
258590.0,28276,2016-04-01 00:00:02,216,6,4,519
253462.0,7047,2016-04-01 00:00:02,11,6,7,429
298335.0,146750,2016-04-01 00:00:02,216,6,5,225
298335.0,1528,2016-04-01 00:00:02,,1,5,225
298335.0,1528,2016-04-01 00:00:02,217,6,5,225
298335.0,146750,2016-04-01 00:00:02,,1,5,225
244299.0,87057,2016-04-01 00:00:02,,2,7,216
258590.0,28276,2016-04-01 00:00:02,0,6,4,519
298335.0,146750,2016-04-01 00:00:02,,1,5,225
298335.0,1528,2016-04-01 00:00:02,0,6,5,225
230407.0,83363,2016-04-01 00:00:02,0,6,5,159
248346.0,66968,2016-04-01 00:00:03,,1,4,231
297894.0,170626,2016-04-01 00:00:03,217,6,6,78
297894.0,170626,2016-04-01 00:00:03,0,6,6,78
297894.0,170626,2016-04-01 00:00:03,216,6,6,78
297894.0,170626,2016-04-01 00:00:03,,1,6,78
297894.0,170626,2016-04-01 00:00:03,,1,6,78
253462.0,7047,2016-04-01 00:00:03,,2,7,429
242848.0,5825,2016-04-01 00:00:04,,1,8,885
242848.0,5825,2016-04-01 00:00:04,,1,8,885
242848.0,5825,2016-04-01 00:00:04,,1,8,885
229277.0,161251,2016-04-01 00:00:04,,1,9,630
229277.0,161251,2016-04-01 00:00:04,,1,9,630
229277.0,161251,2016-04-01 00:00:04,0,6,9,630
229277.0,161251,2016-04-01 00:00:04,217,6,9,630
248346.0,66968,2016-04-01 00:00:04,0,6,4,231
229277.0,161251,2016-04-01 00:00:04,216,6,9,630
229277.0,161251,2016-04-01 00:00:04,217,6,9,630
229277.0,161251,2016-04-01 00:00:04,0,6,9,630
286589.0,154504,2016-04-01 00:00:04,0,6,5,489
286589.0,154504,2016-04-01 00:00:04,0,6,5,489
229277.0,161251,2016-04-01 00:00:04,,1,9,630
229277.0,161251,2016-04-01 00:00:04,,1,9,630
229277.0,161251,2016-04-01 00:00:04,216,6,9,630
242848.0,5825,2016-04-01 00:00:04,,1,8,885
236746.0,28276,2016-04-01 00:00:05,29,6,4,519
250576.0,162108,2016-04-01 00:00:05,0,6,4,306
250576.0,162108,2016-04-01 00:00:05,217,6,4,306
250576.0,162108,2016-04-01 00:00:05,0,6,4,306
250576.0,162108,2016-04-01 00:00:05,,1,4,306
250576.0,162108,2016-04-01 00:00:05,0,6,4,306
250576.0,162108,2016-04-01 00:00:05,217,6,4,306
236746.0,28276,2016-04-01 00:00:05,29,6,4,519
